title,episode_to_watch,remaining_episodes,image,tvtime_show_id,1daymovie_id
Spinning Out,S01E03,+ 7 episodes,https://dg31sz3gwrwan.cloudfront.net/poster/360858/62047089-4-optimized.jpg,360858,
Fleabag,S01E04,+ 8 episodes,https://dg31sz3gwrwan.cloudfront.net/poster/314614/1391969-4-optimized.jpg,314614,
BoJack Horseman,S06E08,+ 8 episodes,https://dg31sz3gwrwan.cloudfront.net/poster/282254/1031578-4-optimized.jpg,282254,
The Sopranos,S02E04,+ 69 episodes,https://dg31sz3gwrwan.cloudfront.net/poster/75299/42795-4-optimized.jpg,75299,
Better Call Saul,S02E01,+ 29 episodes,https://dg31sz3gwrwan.cloudfront.net/poster/273181/1057993-4-optimized.jpg,273181,
Fargo,S03E01,+ 9 episodes,https://dg31sz3gwrwan.cloudfront.net/poster/269613/1009285-4-optimized.jpg,269613,
House of Cards (US),S06E07,+ 1 episodes,https://dg31sz3gwrwan.cloudfront.net/poster/262980/945920-4-optimized.jpg,262980,
Cosmos (2014),S01E10,+ 3 episodes,https://dg31sz3gwrwan.cloudfront.net/poster/260586/1002486-4-optimized.jpg,260586,
Planet Earth II,S01E03,+ 3 episodes,https://dg31sz3gwrwan.cloudfront.net/poster/318408/1164064-4-optimized.jpg,318408,
True Detective,S02E01,+ 15 episodes,https://dg31sz3gwrwan.cloudfront.net/poster/270633/1000486-4-optimized.jpg,270633,
Rick and Morty,S01E01,+ 35 episodes,https://dg31sz3gwrwan.cloudfront.net/poster/275274/986818-4-optimized.jpg,275274,
MINDHUNTER,S01E01,+ 18 episodes,https://dg31sz3gwrwan.cloudfront.net/poster/328708/1233277-4-optimized.jpg,328708,
Narcos,S01E01,+ 29 episodes,https://dg31sz3gwrwan.cloudfront.net/poster/282670/1095687-4-optimized.jpg,282670,
Unbelievable,S01E01,+ 7 episodes,https://dg31sz3gwrwan.cloudfront.net/poster/367030/1376417-4-optimized.jpg,367030,
Money Heist,S01E01,+ 22 episodes,https://dg31sz3gwrwan.cloudfront.net/poster/327417/1376108-4-optimized.jpg,327417,
11.22.63,S01E01,+ 7 episodes,https://dg31sz3gwrwan.cloudfront.net/poster/301824/1119897-4-optimized.jpg,301824,
The Hunt (2015),S01E01,+ 6 episodes,https://dg31sz3gwrwan.cloudfront.net/poster/302286/1238834-4-optimized.jpg,302286,
The Americans (2013),S01E01,+ 74 episodes,https://dg31sz3gwrwan.cloudfront.net/poster/261690/931604-4-optimized.jpg,261690,
